N: 2, Minimum P.E: -0.9999603135945823, Average P.E: -0.9982705126517689, Maximum P.E: -0.9681599884722184
N: 3, Minimum P.E: -2.999870843861121, Average P.E: -1.4253991133930994, Maximum P.E: -0.9458019576921111
N: 4, Minimum P.E: -5.999702810134209, Average P.E: -1.598153193798872, Maximum P.E: -0.5930506969534899
N: 5, Minimum P.E: -9.103334210892745, Average P.E: -1.5270505364569553, Maximum P.E: -0.6414588556626328
N: 6, Minimum P.E: -12.30216690220588, Average P.E: -1.535930301943336, Maximum P.E: -0.5496345571798744
N: 7, Minimum P.E: -16.504254669133005, Average P.E: -1.556299778495733, Maximum P.E: -0.3280484292413375
N: 8, Minimum P.E: -19.81985164793487, Average P.E: -1.6481488706135914, Maximum P.E: -0.14364729045001845
N: 9, Minimum P.E: -24.11001232025975, Average P.E: -1.8150898979787626, Maximum P.E: -0.2723188524228828
N: 10, Minimum P.E: -28.417672532299996, Average P.E: -1.8695078740241617, Maximum P.E: -0.0381135350471634
N: 11, Minimum P.E: -31.791465870194166, Average P.E: -2.102077323538178, Maximum P.E: -0.34684494960929796
N: 12, Minimum P.E: -36.23794753806177, Average P.E: -2.2624638072823138, Maximum P.E: -0.5051704830685757
N: 13, Minimum P.E: -39.686359373936305, Average P.E: -2.272500890858829, Maximum P.E: -0.14710703547513299
N: 14, Minimum P.E: -45.179149030178664, Average P.E: -2.782032448922466, Maximum P.E: -0.029050177079950494
N: 15, Minimum P.E: -49.49350159084655, Average P.E: -2.462132541348464, Maximum P.E: -0.1945158859667887
N: 16, Minimum P.E: -55.88845589597813, Average P.E: -3.478406309466686, Maximum P.E: -0.07533477112622201
N: 17, Minimum P.E: -61.07672775544515, Average P.E: -3.220539947507084, Maximum P.E: -0.10960148026378935
N: 18, Minimum P.E: -65.7798092686489, Average P.E: -3.5161794556928427, Maximum P.E: -0.25058135147894667
N: 19, Minimum P.E: -72.63127709414621, Average P.E: -3.666685778872359, Maximum P.E: -0.4702361763378597
N: 20, Minimum P.E: -73.82338915455747, Average P.E: -4.089246825664134, Maximum P.E: -0.054686628882977456
N: 21, Minimum P.E: -77.70504227651978, Average P.E: -4.515869963397572, Maximum P.E: -0.026535133898931803
N: 22, Minimum P.E: -85.1735096989329, Average P.E: -4.962100269166163, Maximum P.E: -0.09668550928475203
N: 23, Minimum P.E: -87.2093784003099, Average P.E: -5.046047853056342, Maximum P.E: -0.045730531934390244
N: 24, Minimum P.E: -97.31983408803585, Average P.E: -6.630823265274088, Maximum P.E: -0.7069747286447368
N: 25, Minimum P.E: -98.32915349414121, Average P.E: -6.4049497744808495, Maximum P.E: -0.3198323731696411
N: 26, Minimum P.E: -104.62389535659958, Average P.E: -7.513612415273372, Maximum P.E: 0.023695310259658424
